utt_id,word_id,phone_id,phone,human_score,n_frames_c8,competitor_wins,speaker,any_accent,any_incorrect,any_insertion,extreme_speaker,pred,residual,abs_err,T1_alignment,T2_confusion,T3_accent,T4_context,T5_speaker,primary_type
000030012,0,0,M,2.0,167,False,3,False,False,False,False,2.0,0.0,0.0,False,False,False,False,False,other
000030012,0,1,AA,2.0,167,True,3,False,False,False,False,2.0,0.0,0.0,False,False,False,False,False,other
000030012,0,2,R,1.8,167,True,3,True,False,False,False,1.9469135999679563,0.14691359996795628,0.14691359996795628,False,False,True,False,False,T3_accent
000030012,0,3,K,2.0,167,False,3,False,False,False,False,2.0,0.0,0.0,False,False,False,False,False,other
000030012,1,0,IH,2.0,167,False,3,False,False,False,False,1.9907934665679927,-0.00920653343200728,0.00920653343200728,False,False,False,False,False,other
000030012,1,1,Z,1.8,167,True,3,True,False,False,False,1.9082685708999636,0.10826857089996356,0.10826857089996356,False,False,True,False,False,T3_accent
000030012,2,0,G,2.0,167,False,3,False,False,False,False,1.9974374771118164,-0.0025625228881835938,0.0025625228881835938,False,False,False,False,False,other
000030012,2,1,OW,2.0,167,False,3,False,False,False,False,1.9402028322219849,-0.05979716777801514,0.05979716777801514,False,False,False,False,False,other
000030012,2,2,IH,2.0,167,False,3,False,False,False,False,1.9662795066833496,-0.03372049331665039,0.03372049331665039,False,False,False,False,False,other
000030012,2,3,NG,2.0,167,True,3,False,False,False,False,1.9873900413513184,-0.01260995864868164,0.01260995864868164,False,False,False,False,False,other
000030012,3,0,T,2.0,167,True,3,False,False,False,False,1.9942443370819087,-0.005755662918091264,0.005755662918091264,False,False,False,False,False,other
000030012,3,1,UW,2.0,167,True,3,False,False,False,False,1.910605907440185,-0.0893940925598149,0.0893940925598149,False,False,False,False,False,other
000030012,4,0,S,2.0,167,False,3,False,False,False,False,1.9808977842330933,-0.01910221576690674,0.01910221576690674,False,False,False,False,False,other
000030012,4,1,IY,2.0,167,False,3,False,False,False,False,1.9778828620910645,-0.022117137908935547,0.022117137908935547,False,False,False,False,False,other
000030012,5,0,EH,2.0,167,True,3,False,False,False,False,1.995288372039795,-0.004711627960205078,0.004711627960205078,False,False,False,False,False,other
000030012,5,1,L,2.0,167,False,3,False,False,False,False,1.9885053634643557,-0.01149463653564431,0.01149463653564431,False,False,False,False,False,other
000030012,5,2,IH,2.0,167,True,3,False,False,False,False,1.9430599212646484,-0.05694007873535156,0.05694007873535156,False,False,False,False,False,other
000030012,5,3,F,2.0,167,False,3,False,False,False,False,2.0,0.0,0.0,False,False,False,False,False,other
000030012,5,4,AH,2.0,167,False,3,False,False,False,False,1.940782904624939,-0.059217095375061035,0.059217095375061035,False,False,False,False,False,other
000030012,5,5,N,2.0,167,False,3,False,False,False,False,1.9917616844177248,-0.008238315582275169,0.008238315582275169,False,False,False,False,False,other
000030012,5,6,T,2.0,167,True,3,False,False,False,False,1.991509795188904,-0.00849020481109597,0.00849020481109597,False,False,False,False,False,other
000030024,0,0,K,2.0,146,False,3,False,False,False,False,2.0,0.0,0.0,False,False,False,False,False,other
000030024,0,1,EH,1.4,146,True,3,True,True,False,False,1.8045392036437988,0.4045392036437989,0.4045392036437989,False,False,True,False,False,T3_accent
000030024,0,2,T,1.8,146,False,3,True,False,True,False,2.0,0.19999999999999996,0.19999999999999996,False,False,True,False,False,T3_accent
000030024,1,0,L,2.0,146,False,3,False,False,False,False,2.0,0.0,0.0,False,False,False,False,False,other
000030024,1,1,AH,2.0,146,False,3,False,False,False,False,1.96949565410614,-0.030504345893860085,0.030504345893860085,False,False,False,False,False,other
